Textbox201,Textbox215,Textbox219,Textbox223,Textbox199,Textbox217,Textbox203,Textbox209,Textbox221,,,,,,,,,,,,,,
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",670319,Artículo 4.09 (a),31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Otras obligaciones especiales de ejecución,8-Dec-21,5-Jan-22,17-Mar-26,17-Mar-26,1532,-71
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664309,Cláusula 2.04,31523,4871/OC-CR,CID/CCR,TRACK,Financial,Plazo para desembolsos,,,17-Mar-26,17-Mar-27,,294
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664369,Cláusula 3.01 (a),31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Creación del órgano desconcentrado, con personalidad jurídica instrumental, desde la que operará la UCP, adscrita al MJP",17-Mar-21,14-Apr-21,17-Sep-21,17-Sep-21,156,-1713
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664370,Cláusula 3.01 (b),31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Equipo de funcionarios asignados del MSP y MJP con perfiles acordados para apoyar el arranque del Programa,11-Apr-21,14-Apr-21,17-Sep-21,17-Sep-21,156,-1713
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664371,Cláusula 3.01 (c) y 4.07 (a) y (b),31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Manual Operativo del Programa aprobado y en vigencia, incluyendo como anexos IGAS y MGAS-PGAS.",11-May-21,11-May-21,17-Sep-21,17-Sep-21,129,-1713
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664377,Cláusula 4.06 (a),31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Plazo para la iniciación material de las obras del Programa,17-Mar-26,28-Mar-26,17-Mar-25,17-Mar-26,-11,-71
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664361,Cláusula 4.08 - S1,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe de Mantenimiento de obras y equipos,31-Mar-23,18-Apr-23,31-Mar-23,31-Mar-23,-18,-1153
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664360,Cláusula 4.08 - S1,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe de Mantenimiento de obras y equipos,24-Feb-22,15-Mar-22,31-Mar-22,31-Mar-22,16,-1518
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664362,Cláusula 4.08 - S1,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe de Mantenimiento de obras y equipos,18-Apr-24,16-May-24,31-Mar-24,31-Mar-24,-46,-787
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664364,Cláusula 4.08 - S1,31523,4871/OC-CR,CID/CCR,TRACK,Sectorial,Informe de Mantenimiento de obras y equipos,,,31-Mar-26,31-Mar-26,,-57
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664353,Cláusula 4.09 (b),31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Convenios Interinstitucionales con MEP para CCPs (Componente 2),25-Mar-22,19-Mar-25,17-Mar-25,17-Mar-25,-2,-436
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664355,Cláusula 4.09 c),31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Convenios con municipios para la gestión y mantenimiento de las instalaciones y uso de terrenos de CCPs (Componente 2),30-Apr-25,2-May-25,17-Mar-24,30-Apr-25,-2,-392
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664345,Cláusula 5.01 - S1 - S10,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,"Supervisión de la ejecución del Programa (Informe Smestral, PEP, POA, PA y MR)",15-Feb-23,8-Mar-23,15-Feb-23,15-Feb-23,-21,-1197
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664342,Cláusula 5.01 - S1 - S10,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,"Supervisión de la ejecución del Programa (Informe Smestral, PEP, POA, PA y MR)",8-Nov-21,17-Nov-21,15-Aug-21,15-Aug-21,-94,-1746
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664346,Cláusula 5.01 - S1 - S10,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,"Supervisión de la ejecución del Programa (Informe Smestral, PEP, POA, PA y MR)",15-Aug-23,27-Sep-23,15-Aug-23,15-Aug-23,-43,-1016
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664350,Cláusula 5.01 - S1 - S10,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,"Supervisión de la ejecución del Programa (Informe Smestral, PEP, POA, PA y MR)",15-Aug-25,9-Sep-25,15-Aug-25,15-Aug-25,-25,-285
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664349,Cláusula 5.01 - S1 - S10,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,"Supervisión de la ejecución del Programa (Informe Smestral, PEP, POA, PA y MR)",14-Feb-25,19-Mar-25,15-Feb-25,15-Feb-25,-32,-466
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664351,Cláusula 5.01 - S1 - S10,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,"Supervisión de la ejecución del Programa (Informe Smestral, PEP, POA, PA y MR)",12-Feb-26,24-Feb-26,15-Feb-26,15-Feb-26,-9,-101
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664343,Cláusula 5.01 - S1 - S10,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,"Supervisión de la ejecución del Programa (Informe Smestral, PEP, POA, PA y MR)",15-Feb-22,22-Feb-22,15-Feb-22,15-Feb-22,-7,-1562
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664344,Cláusula 5.01 - S1 - S10,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,"Supervisión de la ejecución del Programa (Informe Smestral, PEP, POA, PA y MR)",18-Aug-22,26-Aug-22,15-Aug-22,15-Aug-22,-11,-1381
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664348,Cláusula 5.01 - S1 - S10,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,"Supervisión de la ejecución del Programa (Informe Smestral, PEP, POA, PA y MR)",16-Aug-24,26-Sep-24,15-Aug-24,15-Aug-24,-42,-650
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664347,Cláusula 5.01 - S1 - S10,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,"Supervisión de la ejecución del Programa (Informe Smestral, PEP, POA, PA y MR)",14-Feb-24,14-Mar-24,15-Feb-24,15-Feb-24,-28,-832
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664324,Cláusula 5.02,31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informe Semestral de ejecución presupuestal,18-Aug-22,26-Aug-22,17-Sep-22,17-Sep-22,22,-1348
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664329,Cláusula 5.02,31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informe Semestral de ejecución presupuestal,17-Mar-25,25-Mar-25,17-Mar-25,17-Mar-25,-8,-436
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664327,Cláusula 5.02,31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informe Semestral de ejecución presupuestal,14-Feb-24,14-Mar-24,17-Mar-24,17-Mar-24,3,-801
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664325,Cláusula 5.02,31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informe Semestral de ejecución presupuestal,15-Feb-23,10-Mar-23,17-Mar-23,17-Mar-23,7,-1167
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664326,Cláusula 5.02,31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informe Semestral de ejecución presupuestal,15-Aug-23,27-Sep-23,17-Sep-23,17-Sep-23,-10,-983
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664328,Cláusula 5.02,31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informe Semestral de ejecución presupuestal,16-Aug-24,26-Sep-24,17-Sep-24,17-Sep-24,-9,-617
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664323,Cláusula 5.02,31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informe Semestral de ejecución presupuestal,15-Mar-22,21-Mar-22,17-Mar-22,17-Mar-22,-4,-1532
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664319,Cláusula 5.02 (i),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informes financieros semestrales no auditados del Programa,15-Mar-24,1-Apr-24,17-Mar-24,17-Mar-24,-15,-801
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664320,Cláusula 5.02 (i),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informes financieros semestrales no auditados del Programa,16-Aug-24,26-Sep-24,17-Sep-24,17-Sep-24,-9,-617
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664318,Cláusula 5.02 (i),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informes financieros semestrales no auditados del Programa,4-Sep-23,7-Sep-23,17-Sep-23,17-Sep-23,10,-983
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664321,Cláusula 5.02 (i),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informes financieros semestrales no auditados del Programa,17-Mar-25,24-Mar-25,17-Mar-25,17-Mar-25,-7,-436
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664316,Cláusula 5.02 (i),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informes financieros semestrales no auditados del Programa,20-Sep-22,8-Nov-22,17-Sep-22,17-Sep-22,-52,-1348
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664317,Cláusula 5.02 (i),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informes financieros semestrales no auditados del Programa,17-Mar-23,18-Apr-23,17-Mar-23,17-Mar-23,-32,-1167
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664339,Cláusula 5.03,31523,4871/OC-CR,CID/CCR,TRACK,Sectorial,Datos Comparativos anuales de las matrices de resultados,,,17-Sep-26,17-Sep-26,,113
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664333,Cláusula 5.03,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Datos Comparativos anuales de las matrices de resultados,29-Sep-23,11-Oct-23,17-Sep-23,17-Sep-23,-24,-983
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664334,Cláusula 5.03,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Datos Comparativos anuales de las matrices de resultados,15-Mar-24,1-Apr-24,17-Mar-24,17-Mar-24,-15,-801
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664330,Cláusula 5.03,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Datos Comparativos anuales de las matrices de resultados,16-Mar-22,21-Mar-22,17-Mar-22,17-Mar-22,-4,-1532
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664338,Cláusula 5.03,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Datos Comparativos anuales de las matrices de resultados,31-Mar-26,21-Apr-26,17-Mar-26,17-Mar-26,-35,-71
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664337,Cláusula 5.03,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Datos Comparativos anuales de las matrices de resultados,18-Sep-25,23-Sep-25,17-Sep-25,17-Sep-25,-6,-252
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664335,Cláusula 5.03,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Datos Comparativos anuales de las matrices de resultados,17-Sep-24,26-Sep-24,17-Sep-24,17-Sep-24,-9,-617
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664336,Cláusula 5.03,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Datos Comparativos anuales de las matrices de resultados,24-Mar-25,27-Mar-25,17-Mar-25,17-Mar-25,-10,-436
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664331,Cláusula 5.03,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Datos Comparativos anuales de las matrices de resultados,20-Sep-22,3-Oct-22,17-Sep-22,17-Sep-22,-16,-1348
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664332,Cláusula 5.03,31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Datos Comparativos anuales de las matrices de resultados,17-Mar-23,27-Mar-23,17-Mar-23,17-Mar-23,-10,-1167
IFD,IFD/CIS,CR-T1262,Economic and social reintegration of survivors of human trafficking by expanding economic opportunities in the digital era in Costa Rica,TCP,,,DI,"PENA ARANGO, NORMA CONSTANZA",688072,Eligibility Condition,35419,ATN/JO-20645-CR,IFD/CIS,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,21-Feb-24,21-Feb-24,18-Apr-24,18-Apr-24,57,-769
IFD,IFD/CIS,CR-T1262,Economic and social reintegration of survivors of human trafficking by expanding economic opportunities in the digital era in Costa Rica,TCP,,,DI,"PENA ARANGO, NORMA CONSTANZA",688071,Final Disbursement,35419,ATN/JO-20645-CR,IFD/CIS,TRACK,Financial,Final Disbursement Clause.,,,18-Jan-27,18-Jan-28,,601
IFD,IFD/CIS,CR-T1276,Support for the citizen security and justice sector,TCP,,,DI,"POSADAS, ARNALDO ENRIQUE",693847,Eligibility Condition,36117,ATN/OC-21228-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,12-Nov-24,13-Nov-24,6-Feb-25,6-Feb-25,85,-475
IFD,IFD/CIS,CR-T1276,Support for the citizen security and justice sector,TCP,,,DI,"POSADAS, ARNALDO ENRIQUE",693843,Final Disbursement,36117,ATN/OC-21228-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,6-Nov-27,6-Nov-27,,528
IFD,IFD/CIS,CR-T1289,Support for security initiatives,TCP,,,DI,"POSADAS, ARNALDO ENRIQUE",700395,Eligibility Condition,36765,ATN/OC-21758-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,21-Aug-25,21-Aug-25,21-Oct-25,21-Oct-25,61,-218
IFD,IFD/CIS,CR-T1289,Support for security initiatives,TCP,,,DI,"POSADAS, ARNALDO ENRIQUE",700394,Final Disbursement,36765,ATN/OC-21758-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,21-Jul-28,21-Jul-28,,786
IFD,IFD/FMM,CR-T1266,Fiscal Policy for Climate Change in Costa Rica,TCP,,,DI,"ALEJOS MARROQUIN, LUIS ALEJANDRO",684172,Eligibility Condition,34981,ATN/FC-20294-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,31-Aug-23,31-Aug-23,28-Nov-23,28-Nov-23,89,-911
IFD,IFD/FMM,CR-T1286,Strengthening of public investment management in Costa Rica,TCP,,,DI,"ALEJOS MARROQUIN, LUIS ALEJANDRO",694837,Eligibility Condition,36310,ATN/OC-21410-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,13-Dec-24,13-Dec-24,5-Mar-25,5-Mar-25,82,-448
IFD,IFD/FMM,CR-T1286,Strengthening of public investment management in Costa Rica,TCP,,,DI,"ALEJOS MARROQUIN, LUIS ALEJANDRO",694835,Final Disbursement,36310,ATN/OC-21410-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,5-Dec-27,5-Dec-27,,557
IFD,IFD/FMM,CR-T1293,Strengthening of fiscal management capabilities in Costa Rica,TCP,,,DI,"ALEJOS MARROQUIN, LUIS ALEJANDRO",700398,Eligibility Condition,36805,ATN/OC-21784-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,31-Jul-25,31-Jul-25,25-Oct-25,25-Oct-25,86,-214
IFD,IFD/FMM,CR-T1293,Strengthening of fiscal management capabilities in Costa Rica,TCP,,,DI,"ALEJOS MARROQUIN, LUIS ALEJANDRO",700400,Final Disbursement,36805,ATN/OC-21784-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,25-Jul-28,25-Jul-28,,790
IFD,IFD/ICS,CR-T1306,Boosting digital government and transforming institutional culture for user-centered service delivery in Costa Rica,TCP,,,DI,"ARISI, DIEGO",701838,Eligibility Condition,36987,ATN/OC-21955-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,12-Nov-25,13-Nov-25,25-Dec-25,25-Dec-25,42,-153
IFD,IFD/ICS,CR-T1306,Boosting digital government and transforming institutional culture for user-centered service delivery in Costa Rica,TCP,,,DI,"ARISI, DIEGO",701835,Final Disbursement,36987,ATN/OC-21955-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,25-Sep-28,25-Sep-28,,852
INE,INE/ENE,CR-T1283,Impact of climate change on the country's hydroelectric production and adaptation measures,TCP,,,DI,"MEJIA REYES, EDWIN ORLANDO",692494,Eligibility Condition,35825,ATN/OC-20982-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,3-Sep-24,3-Sep-24,30-Oct-24,30-Oct-24,57,-574
INE,INE/ENE,CR-T1301,Development of a power system expansion planning methodology with high variable renewable generation in Costa Rica,TCP,,,DI,"MEJIA REYES, EDWIN ORLANDO",702574,Eligibility Condition,37132,ATN/OC-22074-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,5-Nov-25,11-Nov-25,30-Jan-26,30-Jan-26,80,-117
INE,INE/PPP,CR-T1274,"Implementation of efficient, responsible, and sustainable Public-Private Partnerships in Costa Rica",TCP,,,DI,"SIQUEIRA MORAES, MARCOS",694326,Eligibility Condition,36030,ATN/OC-21153-CR,INE/PPP,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,9-Dec-24,12-Dec-24,4-Jan-25,4-Jan-25,23,-508
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191156,1.04,5698,3072/CH-CR,CID/CCR,TRACK,Financial,Plazo de último desembolso,13-Nov-20,,13-Nov-20,13-Nov-26,,170
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191155,1.04,5696,3071/OC-CR,CID/CCR,TRACK,Financial,Plazo de último desembolso,13-Nov-20,,13-Nov-20,13-Nov-26,,170
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191162,3.02 (a) (i),5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Contratación de entidad o institución encargada de la gestión del programa,4-Mar-16,4-Mar-16,13-May-15,12-May-16,69,-3667
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191162,3.02 (a) (i),5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Contratación de entidad o institución encargada de la gestión del programa,4-Mar-16,4-Mar-16,13-May-15,12-May-16,69,-3667
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191161,3.02 (a) (ii),5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Conformación del Comité de Aprobaciones y Supervisión (CAS),,16-Mar-15,13-May-15,13-May-15,58,-4032
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191161,3.02 (a) (ii),5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Conformación del Comité de Aprobaciones y Supervisión (CAS),,16-Mar-15,13-May-15,13-May-15,58,-4032
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191164,3.02 (a) (iii),5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Aprobación del MANOP por parte del OE, con no objeción del Banco",6-Oct-15,15-Oct-15,13-May-15,30-Oct-15,15,-3862
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191164,3.02 (a) (iii),5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Aprobación del MANOP por parte del OE, con no objeción del Banco",6-Oct-15,15-Oct-15,13-May-15,30-Oct-15,15,-3862
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691236,3.05,5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Otras condiciones especiales para el desembolso y uso de los recursos del préstamo destinados únicamente a la Ruta Nacional 35,8-Jul-24,8-Jul-24,9-Jul-24,9-Jul-24,1,-687
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691236,3.05,5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Otras condiciones especiales para el desembolso y uso de los recursos del préstamo destinados únicamente a la Ruta Nacional 35,8-Jul-24,8-Jul-24,9-Jul-24,9-Jul-24,1,-687
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191172,4.01(a),5696,3071/OC-CR,CID/CCR,FULFILLED,Legal Report,Informe Jurídico,,6-Mar-15,13-May-15,13-May-15,68,-4032
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191172,4.01(a),5698,3072/CH-CR,CID/CCR,FULFILLED,Legal Report,Informe Jurídico,,6-Mar-15,13-May-15,13-May-15,68,-4032
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191169,4.01(b),5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Designación de Firmas Autorizadas,,16-Feb-15,13-May-15,13-May-15,86,-4032
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191169,4.01(b),5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Designación de Firmas Autorizadas,,16-Feb-15,13-May-15,13-May-15,86,-4032
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191170,4.01(c),5698,3072/CH-CR,CID/CCR,FULFILLED,Financial Prior Condition,Asignación de recursos del proyecto,20-Apr-15,20-Apr-15,13-May-15,13-May-15,23,-4032
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191170,4.01(c),5696,3071/OC-CR,CID/CCR,FULFILLED,Financial Prior Condition,Asignación de recursos del proyecto,20-Apr-15,20-Apr-15,13-May-15,13-May-15,23,-4032
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191171,4.01(d),5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Informe Inicial,30-Oct-15,20-Nov-15,13-May-15,30-Oct-15,-21,-3862
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191171,4.01(d),5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Informe Inicial,30-Oct-15,20-Nov-15,13-May-15,30-Oct-15,-21,-3862
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191168,4.01(e),5698,3072/CH-CR,CID/CCR,FULFILLED,Financial Prior Condition,Sistema de información financiera y estructura de control interno adecuados,13-May-15,15-Oct-15,13-May-15,30-Oct-15,15,-3862
